id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
3991,M,1.6625,1.2875,0.4625,39.70347475,16.726205,7.144074,11.3398,14.0
3992,M,1.6375,1.3,0.4625,46.67745175,20.2131935,10.4609655,11.623295,19.0
3993,M,1.5625,1.225,0.4125,32.16250775,13.70698325,6.25106475,8.9300925,9.0
3994,F,1.3125,1.0,0.35,19.97222275,8.66077225,3.288542,6.23689,10.0
3995,F,1.5,1.2375,0.425,30.51823675,11.9918385,7.540967,9.7805775,15.0
3996,I,0.725,0.5375,0.1875,3.67126025,1.65844575,0.72291225,1.13398,5.0
3997,M,1.625,1.2875,0.4375,34.77066175,13.097469,6.98815175,11.3398,11.0
3998,F,1.4375,1.125,0.3625,26.194938,10.70193625,6.860579,8.50485,9.0
3999,M,1.6375,1.2875,0.425,36.78347625,16.51358375,8.164656,10.3475675,11.0
4000,I,1.0625,0.8625,0.3,12.68640125,5.499803,2.31048425,3.5436875,8.0
4001,F,1.925,1.5,0.45,52.29065275,16.4710595,11.4815475,17.0097,17.0
4002,M,1.375,1.0625,0.375,28.5479465,12.00601325,5.6982495,7.654365,13.0
4003,I,1.1875,0.9375,0.3125,15.43630275,7.41339425,2.96252275,4.252425,9.0
4004,I,1.3375,1.0125,0.35,20.3265915,9.34116025,4.01145425,5.953395,9.0
4005,M,1.5625,1.2,0.375,35.81959325,17.7184375,7.49844275,8.6465975,11.0
4006,F,1.25,1.0,0.425,21.9708625,9.76640275,4.5075705,6.23689,8.0
4007,F,1.4625,1.1375,0.4,29.9654215,12.34620725,6.64795775,9.2135875,8.0
4008,F,1.4625,1.1375,0.4,31.70891575,13.33843975,7.3425205,9.355335,11.0
4009,F,1.4625,1.25,0.4125,31.6096925,14.04717725,7.200773,8.9300925,11.0
4010,I,0.8875,0.6625,0.2125,6.0384435,2.608154,1.077281,1.70097,7.0
4011,I,0.75,0.575,0.1875,3.72795925,1.587572,0.793786,1.13398,6.0
4012,M,1.4,1.125,0.4375,28.7180435,12.60135275,6.25106475,8.9300925,10.0
4013,I,1.1,0.8375,0.3,12.74310025,5.1312595,2.14038725,3.118445,7.0
4014,F,1.5,1.225,0.4,32.98464325,15.025235,6.67630725,8.9300925,9.0
4015,I,1.4,1.0625,0.325,22.5378525,8.8733935,4.37999775,6.87475375,10.0
4016,I,1.0625,0.7875,0.275,10.75863525,4.46504625,2.041164,2.9766975,7.0
4017,F,1.725,1.35,0.45,47.18774275,21.98503725,9.22776225,12.8990225,11.0
4018,I,0.6875,0.5,0.1625,2.62232875,1.34660125,0.63786375,0.7654365,5.0
4019,M,1.3125,1.025,0.45,22.12678475,9.525432,4.89028875,7.087375,8.0
4020,M,1.5125,1.2,0.475,38.215126,17.70426275,7.427569,10.0640725,13.0
4021,I,1.3125,1.0,0.325,20.638436,10.035723,4.86193925,5.06038575,9.0
4022,M,1.4125,1.1375,0.375,26.2232875,8.32057825,4.422522,9.922325,17.0
4023,I,1.375,1.1,0.3625,28.10852925,14.628342,4.91863825,6.3786375,10.0
4024,I,1.1875,0.875,0.3375,16.386011,6.78970525,3.55786225,5.2446575,8.0
4025,F,1.625,1.225,0.3875,32.2333815,14.10387625,8.221355,8.9300925,10.0
4026,I,1.0125,0.75,0.25,8.9300925,3.40194,1.3891255,2.1262125,6.0
4027,M,1.4,1.075,0.3125,26.1665885,11.4248485,6.860579,7.5126175,9.0
4028,I,0.8875,0.6625,0.2375,6.23689,2.56562975,1.304077,1.984465,7.0
4029,F,1.625,1.2875,0.475,42.410852,15.03940975,9.8372765,12.3320325,11.0
4030,I,1.1875,0.9125,0.3125,14.50076925,6.6054335,2.9199985,4.3941725,8.0
4031,M,1.5875,1.2,0.3875,33.5374585,13.25339125,8.03708325,9.2135875,15.0
4032,M,1.55,1.225,0.3875,34.99745775,16.726205,6.44951125,8.3631025,9.0
4033,M,1.45,1.1125,0.3875,26.9036755,11.80756675,5.386405,7.5126175,10.0
4034,M,1.725,1.35,0.55,53.14113775,25.231055,11.60912025,13.1825175,14.0
4035,M,1.45,1.15,0.3875,24.0687255,11.453198,4.2240755,8.3631025,9.0
4036,M,1.6375,1.3125,0.4875,40.1145425,18.01610725,8.46232575,10.489315,10.0
4037,M,1.4,1.1,0.3875,23.416687,8.29222875,5.08873525,8.0796075,9.0
4038,M,1.45,1.075,0.3625,22.89222125,10.6877615,5.45727875,6.6621325,11.0
4039,F,1.575,1.2125,0.375,30.685435,13.097469,6.98815175,9.185238,14.0
4040,M,1.55,1.1375,0.425,31.5529935,14.04717725,7.711064,7.767763,9.0
4041,M,1.3875,1.1,0.325,22.04173625,9.85145125,4.86193925,6.76135575,10.0
4042,M,1.6125,1.2625,0.4,42.2124055,19.0225145,8.278054,11.3398,11.0
4043,M,1.475,1.125,0.425,24.153774,11.679994,4.53592,8.15048125,10.0
4044,M,1.525,1.2125,0.4125,34.189497,18.824068,6.78970525,8.788345,9.0
4045,I,1.25,0.9625,0.3125,15.15280775,7.654365,3.345241,4.35164825,8.0
4046,F,1.5125,1.15,0.45,36.230661,16.726205,9.5537815,10.716111,12.0
4047,M,1.3375,1.0375,0.3375,23.88445375,6.633783,5.4714535,6.80388,14.0
4048,M,1.275,1.0125,0.3375,20.9502805,9.08601475,4.3941725,5.6699,8.0
4049,I,0.875,0.6625,0.225,8.901743,3.912231,1.68679525,2.16873675,7.0
4050,M,1.2125,0.925,0.2625,14.8267885,6.27941425,3.3168915,3.96893,10.0
4051,M,1.4375,1.175,0.375,29.44095575,11.07047975,4.2807745,9.7805775,21.0
4052,F,1.5875,1.275,0.45,40.9650275,17.98775775,8.57572375,10.0073735,11.0
4053,M,1.0125,0.7625,0.2375,8.9300925,3.912231,1.4458245,2.551455,6.0
4054,I,1.0125,0.7625,0.2125,8.06543275,4.01145425,1.43164975,2.551455,7.0
4055,I,1.025,0.75,0.225,7.95203475,3.35941575,1.80019325,2.26796,7.0
4056,M,1.1875,0.8875,0.275,14.628342,7.087375,3.2034935,3.96893,7.0
4057,F,1.4875,1.1625,0.35,27.612413,9.07184,6.520385,8.0796075,14.0
4058,M,1.6125,1.2125,0.45,34.529691,15.43630275,8.107957,9.355335,10.0
4059,I,0.725,0.575,0.1625,3.1467945,1.17650425,0.623689,0.850485,5.0
4060,I,1.0,0.75,0.25,8.8733935,3.92640575,1.757669,2.4664065,6.0
4061,F,1.45,1.125,0.3625,26.12406425,11.15552825,5.556502,8.221355,15.0
4062,I,0.7625,0.575,0.1875,4.139027,1.474174,0.86465975,1.304077,8.0
4063,I,1.05,0.7625,0.2875,7.95203475,3.04757125,1.74349425,2.83495,8.0
4064,F,1.575,1.2875,0.4125,35.49474775,13.947954,6.87475375,11.3398,16.0
4065,M,1.2625,1.025,0.3625,23.48756075,12.51630425,4.55009475,6.6621325,8.0
4066,I,1.0375,0.7625,0.2875,10.44679075,4.77689075,1.74349425,2.6932025,8.0
4067,F,1.3625,1.05,0.375,26.03901575,10.6877615,5.14543425,9.922325,15.0
4068,F,1.6,1.225,0.4125,37.0527965,18.01610725,8.85921875,7.427569,10.0
4069,M,1.5125,1.2,0.425,34.5580405,18.540573,6.4353365,8.9300925,9.0
4070,M,1.5375,1.2125,0.375,33.40988575,14.84096325,6.973977,8.68912175,9.0
4071,M,1.475,1.1125,0.3625,24.08290025,9.6671795,4.57844425,7.37087,11.0
4072,M,1.2125,0.8875,0.3375,16.82542825,6.27941425,3.3735905,5.216308,10.0
4073,I,0.6875,0.55,0.175,3.7137845,1.60174675,0.75126175,0.9922325,5.0
4074,M,1.1125,0.85,0.3125,11.7083435,4.77689075,2.0695135,3.685435,10.0
4075,M,1.5,1.1875,0.4125,28.7180435,11.8784405,6.90310325,8.6465975,10.0
4076,I,1.3125,1.0375,0.35,20.19901875,9.05766525,4.706017,6.0951425,8.0
4077,M,1.175,0.9375,0.35,15.77649675,7.75358825,3.07592075,4.53592,9.0
4078,F,1.6,1.3,0.4125,32.205032,10.4042665,6.22271525,11.90679,16.0
4079,F,1.45,1.125,0.4,23.81358,9.53960675,5.14543425,7.37087,12.0
4080,I,0.925,0.6875,0.25,8.46232575,4.1673765,1.8427175,2.26796,6.0
4081,I,1.1625,0.9375,0.35,17.53416575,6.5487345,4.09650275,6.0951425,13.0
4082,M,1.4,1.125,0.3625,22.12678475,8.43397625,5.23048275,7.7961125,11.0
4083,I,1.1,0.85,0.3125,13.70698325,5.896696,2.9766975,4.3941725,8.0
4084,F,1.2375,0.9125,0.3375,18.46969925,7.4559185,4.72019175,5.386405,8.0
4085,F,1.3625,1.0875,0.4125,22.55202725,9.31281075,4.09650275,7.087375,19.0
4086,F,1.5875,1.2375,0.3875,32.98464325,10.98543125,7.10154975,10.3475675,11.0
4087,F,1.5125,1.2125,0.375,30.900955,12.3887315,9.08601475,8.06543275,9.0
4088,M,1.375,1.1625,0.4375,27.20134525,13.05494475,5.329706,7.5126175,10.0
4089,I,0.95,0.7375,0.2375,7.52679225,3.21766825,1.587572,2.26796,6.0
4090,M,1.725,1.3375,0.4875,51.5110415,22.2543575,11.396499,12.8990225,11.0
4091,I,1.0625,0.8375,0.275,11.89261525,5.1312595,2.3530085,3.5436875,7.0
4092,M,1.55,1.1875,0.4125,35.19590425,13.7495075,7.3425205,11.90679,13.0
4093,M,1.6125,1.25,0.4375,45.982889,16.68368075,10.1207715,14.118051,17.0
4094,I,1.3875,1.0625,0.35,19.83047525,8.7599955,3.6570855,5.953395,8.0
4095,M,1.4375,1.1125,0.3375,24.67823975,11.38232425,5.99591925,7.2291225,8.0
4096,M,1.4,1.075,0.3375,22.4244545,10.8011595,4.8477645,6.3219385,9.0
4097,I,1.075,0.8125,0.2875,10.4042665,4.46504625,1.814368,2.9766975,8.0
4098,M,1.5375,1.1875,0.425,33.5374585,13.70698325,8.278054,8.9300925,9.0
4099,I,1.375,1.075,0.3375,22.1976585,10.149121,4.592619,7.427569,9.0
4100,I,1.05,0.775,0.2875,8.80251975,3.41611475,1.8427175,2.324659,6.0
4101,M,1.7875,1.4,0.5125,52.34735175,22.80717275,11.52407175,10.489315,9.0
4102,F,1.5625,1.2125,0.4375,36.230661,16.612807,7.66853975,9.63883,10.0
4103,I,1.25,0.95,0.3125,14.118051,5.85417175,2.9766975,4.53592,11.0
4104,F,1.525,1.175,0.375,28.22192725,13.62193475,7.15824875,9.07184,9.0
4105,I,1.05,0.7875,0.25,10.3475675,4.2807745,1.80019325,2.9766975,8.0
4106,I,1.1875,0.875,0.275,13.48018725,6.76135575,2.8066005,3.5436875,7.0
4107,F,1.5,1.225,0.4125,31.241149,13.2392165,6.23689,10.489315,10.0
4108,M,1.3375,1.0,0.375,24.93338525,9.28446125,5.57067675,8.221355,15.0
4109,I,1.325,1.075,0.35,19.17843675,7.257472,4.60679375,6.23689,15.0
4110,I,1.325,1.0375,0.425,23.6151335,6.84640425,5.48562825,6.80388,16.0
4111,F,1.7,1.35,0.45,47.18774275,17.61921425,10.4042665,12.6155275,22.0
4112,M,1.325,1.0375,0.3875,21.8574645,8.66077225,4.06815325,7.2291225,26.0
4113,F,1.5125,1.2,0.4375,31.39707125,13.79203175,6.8889285,9.4970825,18.0
4114,F,1.4625,1.125,0.375,23.79940525,10.41844125,5.613201,6.23689,9.0
4115,F,1.55,1.2125,0.4375,36.95357325,17.56251525,7.881161,9.2135875,8.0
4116,F,1.375,1.0375,0.3375,20.25571775,8.03708325,4.8477645,7.2291225,10.0
4117,M,1.6125,1.25,0.475,35.3518265,12.0485375,7.4559185,12.6155275,16.0
4118,I,1.125,0.8625,0.3,11.66581925,5.1312595,2.50893075,3.8271825,9.0
4119,M,1.5625,1.2375,0.375,36.627554,16.5844575,8.164656,10.942907,14.0
4120,I,1.0125,0.75,0.2125,8.00873375,3.35941575,1.51669825,2.494756,7.0
4121,M,1.425,1.1125,0.3625,24.28134675,10.9712565,4.932813,7.2291225,9.0
4122,I,0.8875,0.65,0.2,6.90310325,2.90582375,1.63009625,2.4097075,7.0
4123,F,1.45,1.1125,0.3625,26.7335785,11.15552825,6.520385,8.0796075,11.0
4124,F,1.625,1.2375,0.375,35.62114675,15.46465225,8.51902475,9.2135875,9.0
4125,I,1.125,0.8375,0.2375,9.51125725,3.685435,1.4458245,3.2601925,8.0
4126,F,1.675,1.35,0.4625,46.45065575,17.73261225,9.128539,13.324265,11.0
4127,I,1.325,1.075,0.3375,22.01338675,9.525432,4.55009475,6.520385,8.0
4128,M,1.45,1.1,0.375,23.3883375,10.44679075,4.5642695,6.23689,12.0
4129,M,1.4375,1.1625,0.4125,26.94619975,10.87203325,5.8683465,7.7961125,11.0
4130,I,1.2625,0.9875,0.3375,18.6823205,8.4198015,4.4508715,5.2446575,9.0
4131,M,1.4,1.1,0.3625,25.58542375,11.3681495,5.88252125,7.2291225,10.0
4132,F,1.15,0.9125,0.325,15.6205745,7.3992195,3.345241,4.3941725,8.0
4133,M,1.3125,1.025,0.375,21.885814,7.41339425,4.63514325,7.654365,16.0
4134,I,1.4375,1.125,0.3625,24.53649225,12.0485375,4.89028875,6.3786375,11.0
4135,F,1.25,0.9625,0.3375,16.839603,7.5126175,3.04757125,4.9611625,9.0
4136,I,1.175,0.8625,0.2625,10.999606,4.32329875,1.8994165,3.5436875,7.0
4137,F,1.7375,1.375,0.45,41.7588135,17.81766075,8.57572375,11.3398,10.0
4138,M,1.7375,1.3625,0.4625,49.384829,24.79163775,11.8217415,13.0691195,10.0
4139,F,1.4875,1.175,0.45,33.26813825,14.2030995,7.200773,8.0796075,12.0
4140,I,0.875,0.6625,0.225,4.29494925,1.7860185,1.28990225,1.6726205,8.0
4141,I,0.9125,0.675,0.225,5.556502,2.3530085,1.020582,1.71514475,7.0
4142,I,1.2875,1.0,0.3,19.17843675,8.3631025,3.798833,5.2446575,8.0
4143,F,1.4375,1.1,0.3375,24.67823975,11.9918385,5.88252125,7.087375,9.0
4144,I,1.3125,1.05,0.3625,17.36406875,5.59902625,3.061746,6.520385,11.0
4145,M,1.2625,0.925,0.35,18.24290325,7.04485075,3.47281375,5.2446575,8.0
4146,F,1.5,1.15,0.4375,37.194544,15.0535845,8.37727725,9.7805775,11.0
4147,M,1.325,1.05,0.3875,20.08562075,7.6260155,4.309124,7.087375,11.0
4148,I,1.0875,0.8375,0.275,11.1413535,4.53592,2.50893075,3.96893,8.0
4149,I,1.025,0.8125,0.25,9.19941275,4.6776675,1.757669,2.6932025,7.0
4150,I,0.8125,0.5875,0.1875,4.309124,1.8427175,0.86465975,1.60174675,6.0
4151,I,1.275,1.0,0.2875,18.69649525,7.9662095,3.78465825,5.2446575,8.0
4152,M,1.6,1.2625,0.4125,39.13648475,19.1359125,8.63242275,8.9300925,10.0
4153,I,1.0375,0.8125,0.275,12.360382,5.59902625,2.14038725,3.5436875,7.0
4154,I,1.0,0.775,0.25,8.17883075,3.2601925,1.80019325,2.6932025,8.0
4155,M,1.6125,1.25,0.45,43.02036625,16.4710595,8.901743,11.7650425,13.0
4156,M,1.6125,1.2625,0.4375,37.1094955,11.04213025,6.76135575,13.7495075,15.0
4157,M,1.5375,1.175,0.4,28.76056775,15.1102835,5.5281525,6.973977,10.0
4158,I,1.3125,1.0375,0.325,18.6256215,8.7032965,3.72795925,5.10291,18.0
4159,M,1.3125,1.0375,0.325,20.05727125,6.973977,5.59902625,5.54232725,11.0
4160,F,1.525,1.175,0.3875,28.803092,12.3320325,6.19436575,9.2135875,10.0
4161,I,0.825,0.5375,0.1875,4.20990075,1.65844575,0.907184,1.247378,7.0
4162,M,1.7125,1.375,0.5,47.230267,21.24795025,10.58853825,13.42348825,10.0
4163,F,1.425,1.125,0.4375,27.08794725,11.793392,6.76135575,8.3631025,10.0
4164,F,1.45,1.125,0.3875,26.54930675,10.9145575,6.19436575,8.3631025,16.0
4165,I,0.45,0.3125,0.125,0.77961125,0.21262125,0.12757275,0.226796,5.0
4166,M,1.575,1.25,0.425,35.19590425,12.54465375,7.52679225,10.489315,18.0
4167,M,1.2125,1.0375,0.4,21.44639675,8.06543275,5.726599,7.37087,10.0
4168,F,1.5125,1.1875,0.4375,31.19862475,12.37455675,7.52679225,9.4970825,14.0
4169,F,1.525,1.2,0.4125,33.57998275,16.23008875,6.4353365,10.0640725,8.0
4170,I,1.075,0.825,0.225,9.19941275,4.46504625,2.25378525,2.96252275,7.0
4171,I,1.0,0.8125,0.225,9.8372765,4.46504625,2.097863,2.6932025,6.0
4172,I,1.2,0.975,0.3125,17.860185,7.92368525,2.2963095,5.6699,11.0
4173,F,1.725,1.4375,0.4875,47.18774275,21.829115,10.70193625,12.3320325,11.0
4174,F,1.4125,1.0625,0.425,25.7129965,11.793392,6.010094,7.484268,8.0
4175,I,1.125,0.875,0.275,14.1464005,6.10931725,2.8066005,4.3941725,8.0
4176,I,1.275,0.9875,0.3125,18.597272,7.55514175,4.819415,5.216308,10.0
4177,M,1.5375,1.1875,0.5,33.46658475,12.60135275,7.66853975,11.056305,13.0
4178,M,1.6125,1.3,0.4125,46.6916265,21.24795025,9.241937,10.0640725,12.0
4179,F,1.375,1.0125,0.4125,27.54153925,7.10154975,5.25883225,9.355335,15.0
4180,I,0.925,0.675,0.2375,5.443104,2.2963095,1.48834875,1.984465,7.0
4181,I,0.6875,0.5,0.15,2.608154,1.1056305,0.66621325,0.7654365,5.0
4182,I,0.925,0.725,0.2375,7.52679225,3.6570855,1.7293195,2.1262125,7.0
4183,I,0.7625,0.6,0.1875,4.3941725,1.8427175,1.03475675,1.2190285,6.0
4184,I,1.425,1.1,0.375,23.51591025,10.41844125,4.7343665,6.9456275,10.0
4185,M,1.1875,0.9125,0.2625,14.67086625,7.52679225,2.59397925,4.15320175,7.0
4186,M,1.225,0.9625,0.3,16.51358375,6.36446275,4.025629,5.2446575,10.0
4187,F,1.7375,1.325,0.4625,50.22113925,25.3161035,11.5949455,12.0485375,9.0
4188,I,1.3125,1.0625,0.3625,20.4966885,8.3064035,3.78465825,6.6621325,8.0
4189,M,0.825,0.6375,0.2125,5.1312595,2.0128145,1.077281,1.70097,11.0
4190,F,1.7,1.4125,0.5,50.6605565,21.0636785,11.623295,16.44271,16.0
4191,M,1.15,0.875,0.3,13.53688625,5.556502,2.56562975,4.9611625,8.0
4192,F,1.375,1.075,0.3625,22.963095,6.7188315,5.5281525,6.3786375,7.0
4193,F,1.4,1.025,0.275,20.87940675,9.99319875,5.20213325,5.6699,9.0
4194,F,1.225,0.95,0.3,16.45688475,5.96756975,4.01145425,5.5281525,17.0
4195,I,1.0625,0.7875,0.3,11.2547515,5.6699,2.45223175,2.6932025,7.0
4196,F,1.3125,1.0625,0.325,22.792998,8.88756825,4.819415,6.520385,12.0
4197,M,1.425,1.1,0.3875,26.18076325,9.28446125,5.57067675,9.4970825,10.0
4198,I,0.775,0.5625,0.225,3.81300775,1.6159215,0.737087,1.2757275,6.0
4199,M,1.5625,1.225,0.425,38.71124225,17.690088,7.35669525,11.1980525,11.0
4200,M,1.6625,1.3,0.475,38.55532,15.06775925,9.015141,10.20582,13.0
4201,M,1.575,1.2375,0.375,33.57998275,17.463292,6.84640425,9.4970825,9.0
4202,F,1.775,1.3375,0.4875,54.5727875,25.84056925,11.12717875,13.891255,10.0
4203,M,1.55,1.225,0.4375,40.80910525,14.6566915,8.5898985,12.190285,13.0
4204,M,1.6,1.2125,0.4375,41.8722115,19.731252,8.731646,11.1980525,12.0
4205,F,1.625,1.275,0.4375,39.179009,19.391058,6.5487345,11.056305,11.0
4206,I,0.875,0.6625,0.225,5.5848515,2.0695135,1.14815475,1.70097,6.0
4207,I,1.125,0.8875,0.3125,13.87708025,5.5281525,3.345241,4.252425,13.0
4208,M,1.6875,1.3375,0.4875,45.8978405,18.6823205,10.58853825,14.33067225,15.0
4209,I,0.8125,0.6,0.1875,4.09650275,1.91359125,0.9355335,1.417475,6.0
4210,I,0.9875,0.7,0.25,7.58349125,3.1467945,1.51669825,2.16873675,7.0
4211,F,1.45,1.1375,0.3875,26.988724,11.0846545,7.10154975,8.3631025,16.0
4212,M,1.6375,1.275,0.4625,39.41997975,15.77649675,9.128539,10.3475675,11.0
4213,F,1.2625,1.0,0.3125,18.15785475,8.561549,4.01145425,5.2446575,10.0
4214,F,1.1875,0.8875,0.275,13.62193475,6.25106475,3.231843,4.3941725,8.0
4215,I,1.0875,0.8125,0.275,10.19164525,4.09650275,2.26796,2.9766975,10.0
4216,M,1.5125,1.1875,0.3875,27.37144225,11.8784405,7.200773,7.72523875,10.0
4217,M,1.5875,1.2375,0.4125,38.5836695,13.99047825,7.9662095,13.1825175,13.0
4218,M,1.35,1.0375,0.4,22.04173625,10.24834425,4.762716,5.23048275,8.0
4219,M,1.6,1.25,0.4125,39.19318375,16.726205,9.08601475,10.6310625,9.0
4220,F,1.1875,0.975,0.2875,16.91047675,6.05261825,4.2240755,5.2446575,11.0
4221,F,1.5125,1.2625,0.425,30.91512975,12.3320325,4.40834725,10.0640725,15.0
4222,I,1.25,0.9375,0.3,16.40018575,8.278054,3.345241,4.53592,7.0
4223,F,1.3125,1.025,0.3875,18.7957185,7.6260155,4.91863825,5.386405,10.0
4224,F,1.075,0.8375,0.275,11.2547515,4.7343665,2.5231055,3.40194,9.0
4225,I,1.05,0.8,0.25,8.77417025,3.912231,1.644271,2.664853,6.0
4226,F,1.3125,1.0375,0.3125,20.638436,9.05766525,4.1673765,5.23048275,7.0
4227,F,1.3125,1.0,0.3875,22.72212425,9.298636,4.37999775,5.386405,11.0
4228,I,1.3,1.0,0.3375,17.463292,8.46232575,4.082328,5.10291,8.0
4229,F,1.65,1.35,0.5125,47.513762,20.2131935,10.149121,13.25339125,11.0
4230,F,1.6375,1.3125,0.475,38.79629075,16.896302,7.0023265,11.4815475,11.0
4231,F,1.4125,1.1,0.35,24.777463,12.417081,5.96756975,6.23689,10.0
4232,M,1.4375,1.125,0.35,30.674159,14.04717725,5.159609,7.087375,9.0
4233,I,1.35,1.05,0.325,20.97863,9.68135425,4.66349275,6.0951425,9.0
4234,M,1.275,1.0,0.3125,18.427175,4.8477645,3.86970675,5.953395,16.0
4235,I,1.125,0.8875,0.3,14.5999925,6.7188315,3.175144,3.96893,8.0
4236,F,1.5,1.2,0.3875,30.7592075,16.91047675,5.57067675,7.087375,11.0
4237,I,0.7875,0.575,0.175,3.41611475,1.3324265,0.83631025,1.13398,4.0
4238,I,1.4125,1.075,0.4,25.0326085,13.42348825,5.17378375,6.80388,10.0
4239,I,0.9375,0.7,0.2,6.33611325,2.041164,1.31825175,1.757669,7.0
4240,M,1.425,1.125,0.4125,24.834162,9.51125725,4.706017,7.2291225,9.0
4241,M,1.55,1.2625,0.475,30.71668325,15.03940975,6.0384435,8.0796075,8.0
4242,M,1.4375,1.1125,0.3875,26.32251075,10.41844125,6.76135575,7.654365,10.0
4243,F,1.5625,1.2375,0.4,36.740952,16.4710595,8.15048125,9.07184,11.0
4244,I,1.0875,0.85,0.275,10.41844125,4.5075705,2.097863,3.40194,9.0
4245,M,1.1875,0.9,0.2625,13.8062065,5.443104,2.8066005,4.3941725,10.0
4246,I,0.875,0.6375,0.225,5.59902625,2.48058125,0.963883,1.8427175,8.0
4247,M,1.2,0.9625,0.3125,18.653971,9.468733,3.742134,4.03980375,8.0
4248,M,1.5875,1.25,0.4375,41.730464,18.89494175,8.37727725,11.623295,10.0
4249,I,1.025,0.7625,0.225,10.4042665,4.706017,1.63009625,2.82077525,7.0
4250,F,1.5375,1.175,0.4875,36.4291075,13.2959155,8.9300925,9.8372765,24.0
4251,I,1.4625,1.1375,0.375,24.777463,10.6310625,5.2446575,6.747181,9.0
4252,I,0.825,0.6,0.2125,4.5642695,1.9561155,1.11980525,1.417475,7.0
4253,M,1.2,0.975,0.3125,15.6205745,6.293589,3.3735905,4.252425,13.0
4254,M,1.4,1.1,0.4625,26.2232875,8.83086925,5.10291,9.922325,13.0
4255,M,1.7375,1.375,0.5375,49.384829,20.82270775,8.49067525,16.59863225,14.0
4256,I,1.2875,0.9875,0.3125,17.0380495,9.87980075,3.10427025,4.3941725,9.0
4257,M,1.475,1.175,0.35,28.08017975,13.11164375,6.010094,8.20718025,10.0
4258,F,1.9125,1.4375,0.525,71.11472075,32.9137695,14.7133905,19.23513575,13.0
4259,I,1.55,1.225,0.4125,29.9654215,12.1619355,7.52679225,8.3631025,10.0
4260,F,1.325,1.0625,0.4375,20.3265915,7.257472,4.89028875,7.2291225,13.0
4261,F,1.3125,1.0625,0.35,20.638436,7.4559185,4.4508715,7.2291225,12.0
4262,F,1.2625,0.975,0.3625,16.9246515,6.2652395,3.7137845,5.6699,11.0
4263,F,1.4,1.0875,0.425,26.251637,7.49844275,6.0951425,7.7961125,13.0
4264,F,1.425,1.05,0.45,24.62154075,11.4248485,6.2085405,6.520385,11.0
4265,M,1.575,1.2,0.4375,35.3518265,17.78931125,9.128539,9.1001895,13.0
4266,I,0.6125,0.45,0.125,2.05533875,0.83631025,0.4819415,0.60951425,6.0
4267,M,1.4375,1.0125,0.3875,24.040376,10.67358675,5.08873525,6.6621325,10.0
4268,I,0.875,0.65,0.225,5.28718175,2.19708625,0.9355335,1.8427175,6.0
4269,F,1.5125,1.175,0.4375,32.16250775,14.84096325,6.917278,8.6465975,10.0
4270,F,1.525,1.225,0.4375,31.70891575,12.11941125,7.3425205,9.07184,11.0
4271,F,1.6,1.3,0.475,39.405805,17.73261225,8.674947,11.1980525,9.0
4272,I,0.5125,0.375,0.1125,1.20485375,0.340194,0.24097075,0.283495,3.0
4273,I,0.8125,0.5875,0.2,3.89805625,1.71514475,0.89300925,1.2757275,5.0
4274,I,0.875,0.6625,0.25,5.31553125,2.2963095,1.31825175,1.70097,5.0
4275,I,0.9875,0.725,0.2375,7.087375,3.345241,1.54504775,2.26796,7.0
4276,I,0.8875,0.675,0.225,5.00368675,2.26796,0.963883,1.70097,7.0
4277,F,1.25,1.0125,0.3375,22.55202725,6.747181,5.0178615,7.2291225,14.0
4278,F,1.625,1.2625,0.4375,36.27318525,16.3009625,8.901743,10.0640725,12.0
4279,M,1.3875,1.0625,0.375,24.720764,10.33339275,4.5075705,7.087375,10.0
4280,I,0.7,0.55,0.1625,3.30271675,1.60174675,0.56699,0.850485,5.0
4281,I,0.9625,0.725,0.2125,7.10154975,3.1467945,2.5231055,2.1262125,7.0
4282,M,1.6125,1.225,0.4,31.19862475,11.35397475,6.53455975,8.50485,15.0
4283,F,1.4,1.1,0.4875,25.44367625,9.6671795,5.57067675,9.7805775,17.0
4284,M,1.2875,1.0,0.3625,23.88445375,9.525432,5.59902625,5.6699,9.0
4285,I,0.925,0.7125,0.25,7.75358825,3.18931875,1.74349425,2.551455,7.0
4286,M,1.4375,1.0375,0.3625,25.8263945,11.169703,5.17378375,7.7961125,8.0
4287,M,1.2375,0.9625,0.3625,17.42076775,6.973977,4.18155125,5.2446575,12.0
4288,F,1.875,1.45,0.4875,58.13064975,27.1871705,13.551061,14.4298955,10.0
4289,M,1.3125,1.025,0.4,21.5172705,7.654365,5.0745605,6.80388,12.0
4290,M,1.475,1.1875,0.3625,28.3778495,11.97766375,7.01650125,9.07184,11.0
4291,M,1.5625,1.2625,0.4125,31.6096925,13.6361095,7.711064,11.056305,11.0
4292,M,1.575,1.2,0.4125,38.838815,13.13999325,8.71747125,12.0485375,21.0
4293,M,1.25,1.0,0.3625,22.01338675,7.654365,5.8683465,7.087375,11.0
4294,F,1.7,1.375,0.4125,50.39123625,21.16290175,8.561549,12.3320325,11.0
4295,M,1.375,1.1,0.3625,22.75047375,9.922325,4.57844425,7.2291225,13.0
4296,F,1.1625,0.9125,0.3,15.4504775,7.41339425,3.72795925,4.1106775,8.0
4297,F,1.4625,1.1375,0.3875,27.8675585,13.13999325,5.9817445,7.7961125,10.0
